FOOD_NAME,DIET,FLAVOR,COURSE,STATE,REGION
Amti,vegetarian,spicy,main course,Maharashtra,West
Anarsa,vegetarian,sweet,dessert,Maharashtra,West
Bhakri,vegetarian,-1,main course,Maharashtra,West
Bombil fry,non vegetarian,spicy,main course,Maharashtra,West
Chakali,vegetarian,spicy,snack,Maharashtra,West
Chapati,vegetarian,-1,main course,Maharashtra,West
Chikki,vegetarian,sweet,dessert,Maharashtra,West
Coconut vadi,vegetarian,sweet,dessert,Maharashtra,West
Dahi vada,vegetarian,-1,snack,Maharashtra,West
Dalithoy,vegetarian,-1,main course,Maharashtra,West
Dhondas,vegetarian,sweet,dessert,Maharashtra,West
Kolim Jawla,non vegetarian,spicy,main course,Maharashtra,West
Kombdi vade,vegetarian,spicy,snack,Maharashtra,West
Koshimbir,vegetarian,spicy,main course,Maharashtra,West
Mahim halwa,vegetarian,sweet,dessert,Maharashtra,West
Modak,vegetarian,sweet,dessert,Maharashtra,West
Pav Bhaji,vegetarian,spicy,main course,Maharashtra,West
Poha,vegetarian,spicy,snack,Maharashtra,West
Puri Bhaji,vegetarian,spicy,main course,Maharashtra,West
Sabudana Khichadi,vegetarian,spicy,snack,Maharashtra,West
Shankarpali,vegetarian,sweet,dessert,Maharashtra,West
Sheera,vegetarian,sweet,dessert,Maharashtra,West
Shrikhand,vegetarian,sweet,dessert,Maharashtra,West
Sohan papdi,vegetarian,sweet,dessert,Maharashtra,West
Sukhdi,vegetarian,sweet,dessert,Maharashtra,West
Surnoli,vegetarian,spicy,snack,Maharashtra,West
Sutar feni,vegetarian,sweet,dessert,Maharashtra,West
Thalipeeth,vegetarian,spicy,main course,Maharashtra,West
Veg Kolhapuri,vegetarian,spicy,main course,Maharashtra,West
Zunka,vegetarian,spicy,main course,Maharashtra,West
Brown Rice,vegetarian,-1,main course,-1,-1
Dosa,vegetarian,spicy,snack,-1,South
Idli,vegetarian,spicy,snack,-1,South
Kaju katli,vegetarian,sweet,dessert,-1,-1
Kheer,vegetarian,sweet,dessert,-1,-1
Khichdi,vegetarian,spicy,main course,-1,-1
Kulfi falooda,vegetarian,sweet,dessert,-1,-1
Laddu,vegetarian,sweet,dessert,-1,-1
Lauki ki subji,vegetarian,spicy,main course,-1,-1
Masala Dosa,vegetarian,spicy,snack,-1,South
Nankhatai,vegetarian,sweet,dessert,-1,-1
Pachadi,vegetarian,-1,main course,-1,South
Pani puri,vegetarian,spicy,snack,-1,-1
Papad,vegetarian,spicy,snack,-1,-1
Payasam,vegetarian,sweet,dessert,-1,South
Rajma chaval,vegetarian,spicy,main course,-1,North
Rasam,vegetarian,spicy,main course,-1,South
Red Rice,vegetarian,-1,main course,-1,-1
Sambar,vegetarian,spicy,main course,-1,South
Samosa,vegetarian,spicy,snack,-1,-1
Sevai,vegetarian,-1,main course,-1,South
Upma,vegetarian,spicy,snack,-1,-1
Uttapam,vegetarian,spicy,snack,-1,South
Vada,vegetarian,spicy,snack,-1,South
Ariselu,vegetarian,sweet,dessert,Andhra Pradesh,South
Attu,vegetarian,spicy,snack,Andhra Pradesh,South
Bandar laddu,vegetarian,sweet,dessert,Andhra Pradesh,South
Gavvalu,vegetarian,sweet,dessert,Andhra Pradesh,South
Kajjikaya,vegetarian,sweet,dessert,Andhra Pradesh,South
Kakinada khaja,vegetarian,sweet,dessert,Andhra Pradesh,South
Palathalikalu,vegetarian,sweet,dessert,Andhra Pradesh,South
Pesarattu,vegetarian,spicy,snack,Andhra Pradesh,South
Poornalu,vegetarian,sweet,dessert,Andhra Pradesh,South
Pootharekulu,vegetarian,sweet,dessert,Andhra Pradesh,South
Alu Pitika,non vegetarian,spicy,main course,Assam,North East
Bengena Pitika,vegetarian,-1,main course,Assam,North East
Bilahi Maas,non vegetarian,-1,main course,Assam,North East
Bora Sawul,vegetarian,spicy,main course,Assam,North East
Gheela Pitha,vegetarian,sweet,dessert,Assam,North East
Hando Guri,vegetarian,sweet,dessert,Assam,North East
